10756354#0	Qui était Princesse Diana?
1424410#0	Qui est Rod Stewart?
241957#0	Où est-ce qu’on peut pratiquer le ski?
1596321#0	Combien y a-t-il de lignes de métro à New York?
1129307#0	Qu’est-ce que c'est un chat?
10783897#0	Où se trouve la Birmanie?
13688343#0	Quels sont les pays qui ont des frontières avec la Grèce?
5927550#0	Quand a commencé la Première Guerre mondiale?
12828787#0	Qui est le Prince Noir?
3224634#0	Combien de systèmes stellaires y a-t-il dans l’univers?
9004891#0	Quand était la guerre de Succession d’Autriche?
58884#0	Quelle est la période de l’Ancien Régime?
7114143#0	Qui gère le site Lab 71?
11669515#0	Comment peut-on construire un navire?
1911864#0	Comment s’appelle la femme de Mohammed ben Yûsuf?
3529973#0	Où est né Robin Hobb?
5251652#0	Quelles sont les caractéristiques des équidés?
13908939#0	Comment se fait un incendie?
13801193#0	Quelles sont les fonctions d'un inspecteur de police?
7701269#0	Combien d’enfants a Isabelle des Baux?
4335316#0	Quel est le personnage principal dans le roman L’Ami commun?
5488777#0	Combien d'habitants y a-t-il Mill Springs?
1674856#0	Comment adopter un projet de loi au Canada?
10016137#0	Quelle est la capitale de l’Ukraine?
694281#0	Combien de créatures mythologiques y a-t-il dans la mythologie iranienne?
14655212#0	Quelle était la femme de James Pelham?
7940645#0	Quel est le système d'éducation au Japon?
1535532#0	Qui est la personne Chklovski?
929393#0	Quelle est la date de naissance de M. Dewar?
10491638#0	Combien de types d’heuristiques existent?
4584490#0	Quelle est la date de naissance de la Constitution belge?
9218325#0	Qui est le roi de Suède?
6648612#0	Quel matériel on utilise pour créer un piano?
1134517#0	Quel est l’automobile du sport le plus célèbre?
4339442#0	Combien de rivières y a-t-il au Pérou?
5886091#0	Combien d’enfants a Ronald Reagan?
1294801#0	Combien de personnes un Jetcruzer peut-il accueillir?
9467841#0	Quels états ont une frontière avec le Wyoming?
5885221#0	Où se trouve Schola Cantorum Basiliensis?
14428519#0	Quand s’est passé le génocide arménien?
8564179#0	Quelles sont les caractéristiques d’un vrai dictateur?
